Company Name,Website,City,State,Country,Phone,Services
"D6 Product Development Consultancy Group, LLC",,Louisville,Kentucky,United States,,Product Development Consultancy
"Danzik Applied Sciences, LLC",,Cheyenne,Wyoming,United States,307-307-3070,"Laboratory, product development services"
David H. Fell & Company,,Commerce,California,United States,800-822-1996,"Performing assay, refining and precious metal fabrication. Platinum coinssilver coins, assaying services"
Deep Blue Design LLC,http://www.deepblueid.com/,Columbus,Ohio,United States,614-738-3685,Industrial Design Consultancy
Definitive Design Corp,http://www.definitive-design.com/,Langhorne,Pennsylvania,United States,267-544-7800,Proof of concept through production release for the consumer and medical product industries
Denver Technology Transfer,,Denver,Colorado,United States,303-884-3203,"License Agreements, Sales Servicces, Product Developlemt, Project Management"
"Design Department, Inc",http://www.designdept-inc.com/,Pleasant Prairie,Wisconsin,United States,262-653-9297,"Product design & prototyping, Reverse engineering"
"Design Right Engineering and Manufacturing, LLC",http://designrightengineering.com/,Marietta,Georgia,United States,678-332-6795,"Engineering Services, Custom Product design and manufacturing "
DINADAN INTERNATIONAL TRADING,,Industry,California,United States,626-330-2210,"Packaging Supplies, Electronic, Phone Accessories, Apple & Samsung Accessories, Laptop Bags"
DOTec Inc,http://www.dotecengineering.com/,St. Charles,Missouri,United States,636-724-9032,"Engineering, New Product Development, Forensic Engineering"
Dragon Designs Product Development,,Oswego,Illinois,United States,630-254-7265,Design
E & E Manufacturing Company Inc,http://www.eemfg.com/,Plymouth,Michigan,United States,734-451-7600,Products/Services
"Earth Source, Inc.",https://www.righteouslyrawchocolate.com/,Vista,California,United States,760-734-1867,"Certified Organic Food Manufacturing Facility, Wheat Free, Dairy Free, Nut Free, Soy Free, & Gluten Free Certifications"
EastWest Security Corporation,,Baldwinsville,New York,United States,315-362-9550,Security Products
Eggenberger Automation,,North Versailles,Pennsylvania,United States,412-829-9237,"Machine Shop, Engineering Services, Machined Parts, Mechanical Assembly, Electrical Assembly, Optical Assemblies"
"EJK Products, Inc",,Brea,California,United States,714-256-1211,"Injection plastics, molding, tool and die, assembly and fulfillment, Mold Design and Tooling"
Elogictech Solutions,http://www.elogictechsolutions.com/,San Francisco,California,United States,415-634-6120,"Software Services, Application Development, Testing"
Epic Technologies LLC,http://www.epictech.net/,Bridgewater,New Jersey,United States,908-707-4085,"OEM Product Design & Development, and Sourcing of Plastic, Metal, Rubber, and Ceramic Components"
Fashion Service Group,,Los Angeles,California,United States,626-979-4614,"Fashion Service Group, Pattern Making & Samples/ Duplicates"
Feathertree Product Development,,Los Angeles,California,United States,310-373-6680,Product Development
FifthIdea,,Brooklyn,New York,United States,646-875-0995,Brand & Product Development
FormWorks,http://www.michel-ina.com/,Cleveland,Ohio,United States,216-361-9278,Product development services
Fuhr Research Laboratories,http://www.fuhrlabs.com/,Kirksville,Missouri,United States,660-857-4300,Development of environmentally friendly products
Fuhr Research Laboratories,http://www.fuhrlabs.com/,Kirksville,Missouri,United States,660-857-4300,Development of environmentally friendly products
Furniture QC China,,Los Angeles,California,United States,318-342-9889,"Furniture Inspection, Quality Control, Household Furniture, Restaurant Furniture, Outdoor Furniture, Hotel Furniture"
Garrett Engineering ,,Grand Rapids,Michigan,United States,616-929-6926,"Engineering Service Provider, Reverse Engineering, and data capture, product development services"
Genuine Products Group Inc,http://www.gpgagency.com/,Carlsbad,California,United States,760-804-8046,"Direct to Garment and On Demand Printing, Private Label Merchandise Brand Managment"
GID Development Corporation,http://www.gidcompany.com/,Yorba Linda,California,United States,714-528-2482,Product creation fro concept to reality
Gnotech LLC,,Madison,Wisconsin,United States,608-772-8010,Product development services
Grayco Medical Products,,Williamsville,New York,United States,716-633-1323,"Medical products, product development services"
"GREEN ENERGY RESEARCH, INC.",https://greenenergyresearch.com/,Centereach,New York,United States,866-625-8492,"Fuel Cell Test Kits, USB Sensors, Educational Kits, Product Development, Software Development, Electronic Loads"
"H2O international, inc.",http://www.h2ofilter.com/,Deerfield Beach,Florida,United States,800-570-3464,"Drinking Water Filters, Shower Filters, Private Label Program, Product Development"
Hoag Electronics Product Design and Development Engineering,http://www.hoagelectronics.com/,Bellevue,Washington,United States,425-614-2603,Custom Electronic Development and Design
Honeyville Inc,http://honeyville.com/,Brigham City ,Utah,United States,435-494-4200,"Food Product Development, Almond Flour, Almond Flour, Food Blending, dry foods"
Idea Logic Inc,http://www.idealogicdesign.com/,Cary,North Carolina,United States,919-677-8351,"Industrial Design, Design For Manufacture Expertise, 3D CAD Proficiency"
Ideabang LLC,,Nashville,Tennessee,United States,615-852-5150,"Product development company & Idea Factory, product development services"
Illuminearth - Lighting & Controls,,Saint Augustine,Florida,United States,904-432-3777,"Lighting Fixtures, product development services, Sales Global Distribution"
Image Pattern Service INC.,,Manhattan,New York,United States,212-840-0025,"Dress patterns, pattern making services (castings), grading patterns"
Industrial Excellence LLC,,Salisbury,Massachusetts,United States,978-837-8475,"Patent Services, Prototype, Product Develvopment, Outsourcing, CAD Design, License Research "
Inov 8 Design Inc,http://www.inov8design.com/,Northhampton,Massachusetts,United States,978-318-0050,"Technology Product Design and Development, Rapid prototyping services"
Instructional Systems Implementation And Consulting,,Clarkston,Michigan,United States,248-789-8944,"Engineering, Consulting Services, Research & Development, Process & Product Improvements"
Integrated Technologies Engineering,http://www.ite.com/,Loveland,Ohio,United States,513-576-6200,Design and engineering capabilities
"Inventors Media, LLC.",,Rocky River,Ohio,United States,800-847-0042,"Green Products, Invention & New  Prodcuct Development, Games"
Ipour LLC,,,,United States,,Product development services for dispensing and storing fluids
Ipsum Engineering,,San Diego,California,United States,619-796-6153,"Engineering needs, from product design to manufacturing"
J & M Manufacturing Inc,,Baltimore,Maryland,United States,410-233-4881,"Pattern Making and Editing, Screenprinting and Embroidery, Cutting and Sewing repair work"
J J Pattern,,New York,New York,United States,212-391-8089,"Pattern, sample, & production service: Sample Making, Small Large production, Design Consulting"
Jeteye Enterprises Inc,http://ilgcap.net/,Las Vegas,Nevada,United States,702-800-5055,"Apprarel, Accessories and Consumer Good products"
"JohannesGaston Design, Inc.",,Minneapolis,Minnesota,United States,952-935-5355,Product Design and Development
"JuJu Foods Industries, Inc",,Simi Valley,California,United States,805-624-6135,"Supplier of snack food items to grocery chains, Develop food products"
Kathryn Bowman Studio LLC,,Saint Charles,Missouri,United States,314-324-6375,"Jewelry Making Kits, beading patterns, one-of-a-kind jewelry"
Katz Maketing Solutions,http://www.katzmarketingsolutions.com/,Columbus,Ohio,United States,614-252-6113,"New  Product Development, Food  & Beverage Marketing, Channel Development"
"Kengteh Min, LLC",,Palo Alto,California,United States,650-530-0877,"Consulting for Startups, product development services"
KIK Custom Products,http://www.kikcorp.com/,Auburndale,Florida,United States,863-967-6590,"Aerosols, Detergents, Liquid Health & Beauty, Packaging for Household Chemicals"
Killebrew Industrial Design,http://www.coroflot.com/hkillebrew,Longmont,Colorado,United States,720-432-2597,"Concept development to prototyping, 3D CAD Modeling"
"Knowvention, LLC",http://www.knowvention.com/,Mason,Ohio,United States,513-348-0091,"Engineering Consulting services, consumer products to medical devices"
LA Geek,,Avondale,Arizona,United States,,Product design and development Pet and gift industries
Lapgistica Inc,,Bradenton,Florida,United States,201-294-7352,New products development
Lapgistica Inc,,Bradenton,Florida,United States,201-294-7352,"Patents and new ideas developers, new products development"
Leardon Solutions,http://leardon.com/,San Diego,California,United States,888-872-9703,"End-To-End Product Development & Engineering, Prototyping, Industrial Design, Medical Device"
Left Coast Engineering,http://www.leftcoasteng.com/,Escondido,California,United States,760-975-0400,Electronics Product Design electrical engineering services
Level Up Apparel,http://levelupapparelusa-com.webs.com/,Charlotte,North Carolina,United States,585-653-8351,Apparel & Clothing Manufacturing; fashion accessory design
LGM Pharma,http://lgmpharma.com/,Boca Raton,Florida,United States,561-981-9994,"Drug Development APIs, Active Pharmaceutical Ingredients, Compounding Products, Chemicals"
Lisa LeLeu Studios Inc.,http://www.lisaleleustudios.com/creative_services/,Doylestown,Pennsylvania,United States,215-345-1233,"New Product, Toy, Educational, Publishing"
Made Well LA,http://www.madewellla.com/,Los Angeles,California,United States,323-747-8008,Apparel & Clothing Manufacturing
Make A Bag Boutique,,Muskegon,Michigan,United States,231-286-3198,"Purse and bag making supplies, purse sewing supplies, bag sewing supplies, purse patterns"
Mangini Design Studio,http://www.manginistudio.com/,Miami,Florida,United States,305-932-8828,"Design, Fashion, Denim, Sportswear, Women's Fashion, Product Development"
Manitowoc Pattern & Mfg CO Inc,,Manitowoc,Wisconsin,United States,920-682-1912,"Pattern making services (textiles), pattern making services, pattern making equipment and supplies"
"Mannmade Engineering, LLC",http://www.mannmadeengineering.com/,Bountiful,Utah,United States,801-203-0454,"Glowlytes, Product Development, acoustical engineering services, electrical engineering services"
Manno Bernini Garment Company,http://mannobernini.com/2017/,San Francisco,California,United States,818-293-5531,"Men's and women's formal, casual, and business attire, custom-made garments, wholesale"
Manufacturers in China (HK) Company Limited,http://www.manufacturersinchina.com/,Big Spring,Texas,United States,432-354-2617,"Product Sourcing, OEM, Product Development, Shipping, Sourcing"
Manufacturiung China LLC,https://manufacturingchina.com/,Glendale,California,United States,855-634-2446,"Product development services, outsourcing services, manufacturing outsourcing services"
MARKETVISION WORLDWIDE INC,http://www.marketvisionusa.com/,Northfield,Illinois,United States,847-441-4235,"Logistics, Manufacturing, Product Development"
Mdk. Science,,San Antonio,Texas,United States,210-999-1666,Product Development
Mirror Pharmaceuticals LLC,http://www.ingenus.com/,Fairfield,New Jersey,United States,862-210-8529,"Pharmaceutical Development and Manufacturing NDA, ANDA, OTC, Product Development, contract manufacturing"
Missing Ingredient,https://www.missing-ingredient.com/,Las Vegas,Nevada,United States,702-252-0294,Cosmetic Product Development
MLH,,Lompoc,California,United States,763-263-8495,Apparel & Clothing Manufacturing
"Mobasher Tools, Inc.",http://www.mobashertools.com/,Portland,Oregon,United States,503-591-9298,"Idea, Product, Invention Development"
Nanomaterials Company,,Malvern,Pennsylvania,United States,610-695-0081,Complex nanomaterials
Natural Solutions,,Grand Rapids,Michigan,United States,310-647-7530,"Sustainable Plastic Development, Sustainability biodegradable plastic products, environmental services"
Natures Chemistry LLC,,Skaneateles,New York,United States,315-685-2310,"Chia, Natural Products, Protein Isolate, Herbal Extracts, Product Development "
NCR Technosolutions,http://www.ncrts.com/,Robbinsville,New Jersey,United States,732-789-7890,Mobile Application Development
"New West Development Group, Inc.",http://www.pacificproductservices.com/,North Hollywood,California,United States,818-762-4686,"Manufacturing  Consulting, Product Sourcing"
NJ,,Avenel,New Jersey,United States,908-566-2870,Apparel & Clothing Manufacturing
"OEM Sources, LLC",,Milford,Connecticut,United States,203-283-5415,"Lighting Products, Electrical Products, Stampings, Injection Molding, Contract Assembly, Machining"
Omega Development Corp.,,Bronx,New York,United States,718-828-8038,"Design stainless steel products for commercial & residential,  Driveway Gates, Stair Rails, fences"
Omnica Corp,http://www.omnica.com/,Irvine,California,United States,949-472-0275,"Medical device design & development, Mechanical Product Design"
Optimal Chemical,https://www.mycleaningproducts.com/,Tamarac,Florida,United States,954-678-1541,"Manufacturing, Cleaning Liquids, Wholesaler, Mold & Mildew, Custom Labeling, Natural Cleaning Products"
"Outsource Industries, Inc.",http://www.outsourceindustries.com/index.html,Sunrise,Florida,United States,954-748-6869,"Reverse Engineering, Electronics Design, Custom Manufacturing, Importing, Sourcing, Outsourcing, Prototyping"
Owings Patterns,http://owingspatterns.com/,Sellersburg,Indiana,United States,812-944-5577,"Aluminum, mold making, pattern making services (castings)"
"Pacific Rim Manufacturing, Inc.",http://www.pacificrimmfg.com/,Milwaukee,Wisconsin,United States,503-654-9543,Precision machining and assembly services.
Package Development Company Inc,http://www.packagedevelopmentcompany.com/index.html,Wilmington,North Carolina,United States,910-854-0400,"Total Packaging Solutions, Consumer, Medical, Contract Packaging, filling services packaging"
Painless Apparel,,San Diego,California,United States,858-824-1707,Sewing
Parametric Product Development Group LLC,,Indianapolis,Indiana,United States,317-476=1511,Product Design & Engineering Services
Pattern Studio A,http://patternstudioa.com/,Atlanta,Georgia,United States,770-771-9212,Apparel & Clothing Manufacturing and Pattern Making
patternsandsampleservice,http://www.patternsandsampleservice.com/,Delray Beach,Florida,United States,310-428-7081,"Pattern making, sample service, grading, small production, Custom made garments"
PCSI Design,,,,United States,,"Pro/E, SolidWorks, NX, Catia V5, and AutoCAD can provide onsite or remote support, product development services"
Percept Technology Labs,http://www.percept.com/,Boulder,Colorado,United States,303-444-7480,"Product Development Support, Reliability Engineering & Testing, Compliance Support, Engineering services"
Pier Foundry & Pattern Shop,http://www.pierfoundry.com/casting/,Saint Paul,Minnesota,United States,651-222-4461,"Grey iron, ductile iron and austempered ductile iron castings"
PMT GLOBAL SOLUTIONS,http://www.precihole.com/,Sterling,Virginia,United States,703-444-0383,"Special Purpose Machines, Precision Machined Components, Drilling Services, Joint Assembly"
"Pocket Workmate, LLC",,West Des Moines,Iowa,United States,515-991-2713,Product development services
Porter's Pattern Shop,,Liberal ,Missouri,United States,417-214-0293,"Pattern making equipment and supplies, steel mills"
Precision Gasket Company,http://pgc-solutions.com/,Minneapolis,Minnesota,United States,952-942-6711,Product development and application engineering for precision engineered components
"Prodigy Innovation, INC.",,Oakland Park,Florida,United States,754-368-7561,"Medical Supplies, Licensing, Product Development"
Product Design & Development Company,http://www.gidcompany.com/,Yorba Linda,California,United States,714-528-2482,Product prototype development and Design
Product Develoopment Mfg. LLC,,Mayer,Minnesota,United States,952-201-8342,"Manufacturing services, CNC programming, machining services, MATSUURA Design, CREO Parametric and SolidWorks "
Product Prototype Development,http://www.gidcompany.com/,Yorba Linda,California,United States,714-528-2482,Prototype & product design and development
"Product Ventures, LLC",http://www.productventuresllc.com/,Chevy Chase,Maryland,United States,301-656-1867,Product Design & Development Consultant
Prototype One,,Grand Rapids,Michigan,United States,616-540-4750,Cast urethane prototypes. Pattern Model making
Rainbow Pattern,,New York,New York,United States,212-290-0209,Pattern and sample making development
Red Fusion Studios,,Port Washington,Wisconsin,United States,888-743-8746,Product development services
Rightway Solution,http://www.rightwaysolution.com/,New York,New York,United States,347-979-7106,Software & Mobile Application Development
Round Rock Consulting LLC,http://www.roundrockconsulting.com/,Seabrook,New Hampshire,United States,978-973-1500,"Product Realization Services, Development Consulting, Business Development, electronics manufacturing services"
Rykus Consultants Inc,,Boca Raton,Florida,United States,561-213-5478,"Branding, eCommerce, Public Relations, Distribution, Consulting, Product Development"
"Savage Design, Inc.",http://www.savagedesigninc.com/index.html,Washington,D.C.,United States,206-484-4808,"Industrial Design, Product & Plastic  Design"
Scott Industries,,San Luis Obispo,California,United States,916-812-7217,"Prototyping, Reverse Engineering, Medical"
Shape Design Inc,,New York,New York,United States,212-221-9200,"Pattern making equipment and supplies, sample making, production services"
"Sharks Success Marketing Enterprises, Inc.",http://sharkssuccess.com/,Fern Park,Florida,United States,407-468-3059,"Consumer Products, Hardgoods"
Simple Stature Incorporated,https://www.simplestature.com/,Brooklyn,New York,United States,855-782-8873,Apparel & Clothing Manufacturing
Smart Pattern Making,https://www.smartpatternmaking.com/,Los Angeles,California,United States,323-960-1050,Apparel & Clothing Manufacturing and Pattern Making
Source Pros,,Charlotte,North Carolina,United States,877-206-7071,"Publication Service, Retail Distribution, Product Development"
Sourcing Partners,http://www.sourcingpartners.com/,San Francisco,California,United States,415-649-6928,Apparel & Clothing Manufacturing
Spark Design LLC,http://www.sparkdesignllc.com/,Meridien,Connecticut,United States,203-639-9905,"Product development services, Computer Aided Design, graphic design services, package design"
Splother,,Franklin,Tennessee,United States,615-887-1216,"Seasonal, Greeting  Cards, Toys, Gifts, Halloween, Music, Licensing, Product Development"
SQ Designs,http://sqpaints.com/silver-quarters/silver-quarters-boarding-facility.html,Bow,Washington,United States,360-757-1357,Custom Horse Show Apparel
Stratos Product Development,,Seattle,Washington,United States,206-448-1388,"Medical device design & development, Mechanical Product Design"
"SureWorks, LLc.",http://sure.works/,Longmont,Colorado,United States,303-532-9830,"Engineering Services, Product development services"
Swift Manufacturing & Engineering LLP,http://swiftmanufacturing.com/,Madison,Wisconsin,United States,608-838-8888,"Full service machining & assembly manufacturing, New Product Development, Engineering & bioengineering services, CAD"
SWITCH-IT,http://www.sunrisemedical.com/power-wheelchairs/electronics/mini-proportional-joysticks,Missouri City,Texas,United States,713-937-7197,Electronic Product Development
The Design Principles LLC,,Fort Lauderdale,Florida,United States,305-879-6863,"Fashion illustration, design, pattern making, sample making"
The Linley Company,http://www.linley.com/,New York,New York,United States,917-679-0073,"New Product Development, Sourcing and Sustainability"
"The MK Innovation Group, Inc.",http://www.tmkig.com/,Naperville,Illinois,United States,630-388-8774,"Creates methods, develops, and markets products and brands"
The Nature's Orchestra LLC,https://www.thenaturesorchestra.com/,Hamburg,New Jersey,United States,973-476-9434,Organic & Eco-Friendly Apparel & Clothing Manufacturing
The PG Design Goup LLC,,Los Angeles,California,United States,626-940-8360,"Product Development, Design, Sourcing and Production Accessories"
The Product Solutions Group,,Los Angeles,California,United States,323-344-1873,Cost Conscience Savings product design
Tiller & Associates,,Lincoln,Nebraska,United States,402-430-4842,Engineering and management consulting
"TLC The Label Company, Inc",http://www.resourcelabel.com/the-label-company-los-angeles,Santa Ana,California,United States,714-619-7100,"Labeling solutions: cosmetics, food, vitamin, Health & Beauty products"
Triumbari,http://www.triumbari.com/,Maineville,Ohio,United States,513-480-5210,"Engineering, Product Development, Water Bottles, Quality, Modeling"
"Turnamics, Inc.",https://www.turnamics.com/,Asheville,North Carolina,United States,828-254-1059,"CNC Machining, Turning, Milling, Swiss Screw Machining and Fabrication"
Twin Image Inc,http://www.twinimagedesign.com/,Freeport,Illinois,United States,414-588-5198,"Prototyping, Product Development, Laser Cutting, Sourcing, Industrial"
U Design It,http://www.udesignitusa.com/,Hollywood,Florida,United States,954-505-1793,"Branding and Promotional, Products, t-shirts, branding business, tshirt"
Upstream Design,,Buffalo,New York,United States,716-352-4198,"Baby Gear, Preschool Toys Product Design & Development "
VipDoor Technology Corp,,Orlando,Florida,United States,407-374-2035,Eletromechanical products development
Wild Manta,https://www.wildmanta.com/,Palm Bay,Florida,United States,321-676-8606,"New Product Development & Launch, Product Examples, Medical Products, Software Engineering"
Wilmington Candle Company,,Wilmington,Vermont,United States,802-855-7200,"Hand Poured Soy Candles, Goats Milk Soaps, Lotions, Bath and Body products, Salts, Sugar Scrubs"
"Wohlslagel Design, LLC",,Cincinnati,Ohio,United States,937-361-8216,"Product Design & Development, Prototyping and Fabrication"
X3dcae LLC,http://www.x3dcae.com/,Morgantown,West Virginia,United States,304-212-4760,"Computer Aided Engineering, Finite Element Analysis (CAE/FEA), Biometrics"
Zuo Design Inc,,Hallandale Beach,Florida,United States,786-514-2864,"China Sourcing, product design & development services"
,,,,,,
