Company Name,Website,Type,City ,State,Country,Phone
Button Oil CO Inc,buttonoil.com,Gas & Oil,Mountain Top,Pennsylvania,United States,1-570-474-6635
BVM Corporation,bvmcorp.com,Gas & Oil,Stoneham,Colorado,United States,1-303-975-1402
Byrnes Oil CO Inc,www.byrnesoil.com,Gas & Oil,Pendleton,Oregon,United States,1-541-276-3361
C & C Technologies Survey Service,www.cctechnol.com,Gas & Oil,Lafayette,Louisiana,United States,1-337-261-0660
Cabot Oil & Gas Corporation,http://www.cabotog.com/,Gas & Oil,Houston,Texas,United States,1-281-589-4600
California Fresno Oil Company,www.calfresno.com,Gas & Oil,Fresno,California,United States,1-559-486-0220
California Fuels & Lubricants,www.cafueling.com,Gas & Oil,Fountain Valley,California,United States,1-714-530-4795
Callon Petroleum Company  ,http://www.callon.com/,Gas & Oil,Natchez,Mississippi ,United States,1-601-442-1601
Calumet Lubricants,calumetlubricants.com,Gas & Oil,Princeton,Louisiana,United States,1-318-949-2421
Calumet Lubricants,calumetlubricants.com,Gas & Oil,Cotton Valley,Louisiana,United States,1-318-832-4236
"Camac Holdings, Inc.",http://www.camac.com/,Gas & Oil,Houston,Texas,United States,1-713-965-5100
Canaan Resources LLC,www.canaanresources.com,Gas & Oil,Oklahoma City,Oklahoma,United States,1-405-604-9300
Carr Resources,www.carrresources.com,Gas & Oil,Tyler,Texas,United States,1-903-597-2336
Cass City Oil & Gas Company,casscitygas.com,Gas & Oil,Cass City,Michigan,United States,1-989-872-2065
Castor Oil Inc,castoroilinc.com,Gas & Oil,Plainview,Texas,United States,1-806-293-1693
Cato Oil Company,www.catooil.com,Gas & Oil,Salisbury,Maryland ,United States,1-410-546-1215
Central Oil & Supply Corporation,central-oil.com,Gas & Oil,Monroe,Louisiana,United States,1-318-388-2602
Central Penn Oil,www.asifuels.com,Gas & Oil,Elmira,New York,United States,1-607-734-2858
Centura Oil Inc,centuraoil.com,Gas & Oil,Hopkins,Minnesota,United States,1-952-545-6431
Champ Oil CO Oil Extraction,www.champoil.com,Gas & Oil,Williamsburg,Kentucky,United States,1-606-549-5797
Charles Tart Propane Inc,www.tartpropane.com,Gas & Oil,Dunn,North Carolina,United States,1-910-892-0111
Chart Distribution Group,chartauto.com,Gas & Oil,Lincoln,Illinois,United States,1-217-732-4747
Chesapeake Energy Corporation,http://www.chk.com/,Gas & Oil,Oklahoma City,Oklahoma,United States,1-877-245-1427
Cheshire Oil Co Inc,www.cheshireoil.com,Gas & Oil,Keene,New Hampshire,United States,1-603-352-2396
Cincinnati Vulcan Oil Company,www.vulcanoil.com,Gas & Oil,Cincinnati,Ohio,United States,1-513-242-2672
Citizens Oil Cooperative Inc,oilco-op.com,Gas & Oil,West Hartford,Connecticut,United States,1-860-561-6011
"Clayton Williams Energy, Inc.",http://www.claytonwilliams.com/,Gas & Oil,Midland,Texas,United States,1-432-688-3031
Clean Caribbean Corporation - Main OFC,www.cleancaribbean.org,Gas & Oil,Fort Lauderdale,Florida ,United States,1-954-983-9880
Clear River Fuel Oil,www.clearriverfueloil.com,Gas & Oil,East Hartford,Connecticut,United States,1-860-289-8858
CMS Energy Corporation,http://www.cmsenergy.com/home/default.aspx,Gas & Oil,Jackson,Mississippi ,United States,1-517-788-0550
Coast Oil Company,coastoil.com,Gas & Oil,San Jose,California,United States,1-408-251-0811
Coast Oil Company,coastoil.com,Gas & Oil,Greenfield,California,United States,1-831-674-5823
Cobra Oil & Gas Corporation,cobraogc.com,Gas & Oil,Wichita Falls,Texas,United States,1-940-716-5100
Coleman Oil,colemanoil.com,Gas & Oil,Wenatchee,Washington,United States,1-509-662-6400
Cole's BP,www.coleoilandpropane.com,Gas & Oil,Lomira,Wisconsin,United States,1-920-269-4407
Colorado County Oil CO Inc,www.coloradocountyoil.com,Gas & Oil,Columbus,Texas,United States,1-979-732-3024
Colorado Natural Gas,www.colopetro.com,Gas & Oil,Denver,Colorado,United States,1-303-294-0302
Colwell Oil CO Inc,texacocollectables.com,Gas & Oil,Waxahachie,Texas,United States,1-972-938-3830
Comfort Systems - 24-Hour Emercency Response,www.comfortsystems.ws,Gas & Oil,Duluth,Minnesota,United States,1-218-730-4100
Commissioners of Public Works,greenwoodcpw.com,Gas & Oil,Greenwood,South Carolina,United States,1-864-942-8100
Compton Petroleum Corporation,,Gas & Oil,Calgary,Alberta,Canada,1-403-237-9400
Comstock Resources Inc,www.comstockresources.com,Gas & Oil,Frisco,Texas,United States,1-972-668-8800
Connell Oil Corporation OFC,www.connelloil.com,Gas & Oil,Pasco,Washington,United States,1-509-547-3326
Contango Oil & Gas Company,https://www.contango.com/,Gas & Oil,Houston,Texas,United States,1-713-236-7400
Continental Energy Corporation,http://www.continentalenergy.com/,Gas & Oil,Vancouver,British Columbia,Canada,1-561-779-9202
Core Minerals Operating CO Inc,coreoperating.com,Gas & Oil,Evansville,Indiana ,United States,1-812-759-6950
Corey Oil Limited,www.coreyoil.com,Gas & Oil,North Lake,Wisconsin,United States,1-800-945-0231
CountryMark,www.countrymark.com,Gas & Oil,Indianapolis,Indiana ,United States,1-800-808-3170
Crimson Energy Company,crimsonenergy.com,Gas & Oil,Fort Worth,Texas,United States,1-817-820-0600
Cross Oil Refining & Marketing,crossoil.com,Gas & Oil,Smackover,Arkansas ,United States,1-870-881-8700
Crown Energy LLC,theeversullgroup.com,Gas & Oil,Frisco,Texas,United States,1-972-991-7373
Crown Exploration,crownexploration.com,Gas & Oil,Carrollton,Texas,United States,1-972-492-0058
Cunningham Energy,http://www.cunninghamenergy.com/,Gas & Oil,Charleston,West Virginia,United States,1-304-344-9291
Curlew Lake Resources Inc.,http://www.curlew-lake.com/,Gas & Oil,Vancouver,British Columbia,Canada,1-604-336-8613
Cutrona Heating Company,www.cutronaheating.com,Gas & Oil,Rochester,Pennsylvania,United States,1-724-728-6200
Dakota Gasification Co,www.dakotagasification.com,Gas & Oil,Bismarck,North Dakota,United States,1-701-221-4400
Dakota Gasification Company,www.dakotagas.com,Gas & Oil,Beulah,North Dakota,United States,1-701-873-2100
Dark Oil Company,www.darkoil.com,Gas & Oil,Attica,Kansas,United States,1-620-254-7266
Dart Energy Corporation,www.dartenergy.com,Gas & Oil,Mason,Michigan,United States,1-517-676-2900
Davidson Oil Company,www.davidsonoil.com,Gas & Oil,Amarillo,Texas,United States,1-806-374-6022
Delta Natural Gas CO Inc,www.deltagas.com,Gas & Oil,Winchester,Kentucky,United States,1-859-744-6171
Delta Oil Company,www.deltaoilcompany.com,Gas & Oil,Petersburg,Virginia,United States,1-804-733-3582
Denbury Resources Inc.,http://www.denbury.com/,Gas & Oil,Plano,Texas,United States,1-972-673-2000
Derek Resources,,Gas & Oil,Vancouver,British Columbia,Canada,1-604-331-1757
Devon Energy Corporation,http://www.devonenergy.com/,Gas & Oil,Oklahoma City,Oklahoma,United States,1-405-235-3611
Devries International,www.devriesintl.com,Gas & Oil,Irvine,California,United States,1-949-252-1212
Dewbre Petroleum Corporation,dewbre.com,Gas & Oil,Corpus Christi,Texas,United States,1-361-888-7978
Diamond Fuel Oil,www.ddmenergy.com,Gas & Oil,West Chester,Pennsylvania,United States,1-610-527-6220
Dietler Cortlandt S,www.transmontaigne.com,Gas & Oil,Denver,Colorado,United States,1-303-626-8200
Discountoil.Com,www.discountoil.com,Gas & Oil,Bethlehem,Pennsylvania,United States,1-610-868-4858
Dominick Fuel Inc,www.dominickfuel.com,Gas & Oil,Norwalk,Connecticut,United States,1-203-866-5836
Dominion Energy Inc.,https://www.dominionenergy.com/,Gas & Oil,Richmond,Virginia,United States,1-888-366-8280
Double M Sales & Service/Filter Service Corp.,doublemsales.com,Gas & Oil,Albuquerque,New Mexico,United States,1-505-327-0470
Doughtie Exploration Company,www.doughtieexploration.biz,Gas & Oil,Sugar Land,Texas,United States,1-281-494-5575
Downs Energy,www.downsenergy.com,Gas & Oil,Corona,California,United States,1-951-737-4230
Downs Energy,www.downsenergy.com,Gas & Oil,Lake Elsinore,California,United States,1-951-737-9866
"DTC Energy Group, Inc.",dtcenergygroup.com,Gas & Oil,Denver,Colorado,United States,1-303-242-3504
Duggan Oil Company,dugganoil.com,Gas & Oil,Holbrook,Massachusetts,United States,1-781-767-4400
Duke Energy Corporation,https://www.duke-energy.com/home,Gas & Oil,Charlotte,North Carolina,United States,1-800-521-2232
Duke of Oil,thedukeofoil.com,Gas & Oil,Merrillville,Indiana ,United States,1-219-769-0507
Duncan Valley Electric Cooperative,dvec.org,Gas & Oil,Duncan,Arizona,United States,1-928-359-2503
Duphil Inc,duphil.com,Gas & Oil,Orange,Texas,United States,1-409-886-0730
Dutcher & CO Inc,www.dutcherco.com,Gas & Oil,Oklahoma City,Oklahoma,United States,1-405-235-6664
"Dynegy, Inc.",https://www.dynegy.com/,Gas & Oil,Houston,Texas,United States,1-713-507-6400
E R Vine & Sons Distributors,www.vinefuels.com,Gas & Oil,Ceres,California,United States,1-209-537-0723
Earhart Petroleum Inc,www.earhartpetroleum.com,Gas & Oil,Troy,Ohio,United States,1-614-866-4176
Earlville Farmers Cooperative,earlcoop.com,Gas & Oil,Earlville,Illinois,United States,1-815-246-8181
Eastern Aviation Fuels Inc,easternaviationfuels.com,Gas & Oil,New Bern,North Carolina,United States,1-252-633-0066
Eastern Oil Company,easternoil.com,Gas & Oil,Pontiac,Michigan,United States,248-333-1333
Eastern Oil Well Service Company,primeenergy.com,Gas & Oil,Oklahoma City,Oklahoma,United States,1-405-947-1091
Eastern Shelf Consulting,eastern-shelf.com,Gas & Oil,Fort Worth,Texas,United States,1-817-568-1110
Eel River Fuels Inc,www.eelriverfuels.com,Gas & Oil,Ukiah,California,United States,1-707-462-5554
Eighty-Eight Oil LLC,www.truecos.com,Gas & Oil,Guernsey,Wyoming,United States,1-307-756-3292
El Paso Energy Corporation,https://www.kindermorgan.com/,Gas & Oil,Houston,Texas,United States,1-713-369-9000
Elite Power LLC,www.elitepowerllc.com,Gas & Oil,Dickinson,North Dakota,United States,1-701-483-8219
Elm Corporation,elmcorp.org,Gas & Oil,Mobile,Alabama ,United States,1-251-438-2510
Emerson Energy Fuels,www.emersonenergyfuels.com,Gas & Oil,Ellsworth,Maine,United States,1-207-667-2923
Empire Natural Gas Corporation,empirenatgas.com,Gas & Oil,Greene,New York,United States,1-607-656-7851
Energen Corporation,www.energen.com,Gas & Oil,Birmingham,Alabama ,United States,1-205-326-8100
Energen Resources Corporation,www.energen.com,Gas & Oil,Birmingham,Alabama ,United States,1-205-326-2710
Energy Companies of Oneok,www.oneok.com,Gas & Oil,Tulsa,Oklahoma,United States,1-918-588-7000
Energy Cooperative of America Inc,www.ecamerica.org,Gas & Oil,Amherst,New York,United States,1-716-580-3506
Energy Training Solutions LLC,energytrainingsolutions.com,Gas & Oil,The Woodlands,Texas,United States,1-281-783-5265
Enerplus Resources USA Corporation,www.enerplus.com,Gas & Oil,Denver,Colorado,United States,1-720-279-5500
ENX S.A.,,Gas & Oil,New York,New York,United States,1-646-233-2255
EOG Resources,http://www.eogresources.com/,Gas & Oil,Houston,Texas,United States,1-713-651-7000
Erie Petroleum,www.eriepetroleum.com,Gas & Oil,Erie,Pennsylvania,United States,1-814-456-7516
Eurogas Corporation,http://dundee-energy.com/,Gas & Oil,Toronto,Ontario,Canada,1-416-863-6990
Exxon Mobil,http://corporate.exxonmobil.com/en/,Gas & Oil,Irving,Texas,United States,1-800-243-9966
F C HABB,fchaab.com,Gas & Oil,Philadelphia,Pennsylvania,United States,1-215-336-3100
Fabcor Inc,www.fabco-nj.com,Gas & Oil,Long Branch,New Jersey,United States,1-732-571-3336
Fairbanks Natural Gas,www.fngas.com,Gas & Oil,Fairbanks,Alaska,United States,1-907-452-7111
Fairweather,fairweather.com,Gas & Oil,Anchorage,Alaska,United States,1-907-258-3446
Fannon Petroleum Service Inc,fannonpetroleum.com,Gas & Oil,Gainesville,Virginia,United States,1-703-468-2060
Farmers Oil Co Inc,farmersoilcoinc.com,Gas & Oil,Anthony,Kansas,United States,1-620-842-3117
Federal Oil Company,www.federaloil.com,Gas & Oil,Mount Pleasant,Michigan,United States,1-989-773-9873
Feece Oil Company,www.feeceoil.com,Gas & Oil,Batavia,Illinois,United States,1-630-879-1911
Fidelity Exploration & Production Company,,Gas & Oil,Denver,Colorado,United States,1-303-893-3133
Finest Oil Company,finest-oil.com,Gas & Oil,Missoula,Montana,United States,1-406-543-6969
Fitchburg Gas & Electric Light CO Unitil,www.unitil.com,Gas & Oil,Fitchburg,Massachusetts,United States,1-888-301-7700
Fletcher Oil,fletcheroil.com,Gas & Oil,Columbus,Georgia ,United States,1-706-322-3297
Flint Hills Resources LP,www.kochind.com,Gas & Oil,Wichita,Kansas,United States,1-316-828-7462
Flow-Zone,flow-zone.com,Gas & Oil,Pearland,Texas,United States,1-281-997-8899
Fluid Inclusion Technologies,www.fittulsa.com,Gas & Oil,Broken Arrow,Oklahoma,United States,1-918-461-8984
Fluid Tech Inc,www.fluidtechpa.com,Gas & Oil,Canonsburg,Pennsylvania,United States,1-724-942-3400
Focus Exploration,http://www.focusexploration.com/,Gas & Oil,Houston,Texas,United States,1-713-435-0021
Force Chem Technologies,forcechemtech.com,Gas & Oil,Broussard,Louisiana,United States,1-337-205-2156
Forest Oil Corporation,http://www.sabineoil.com/,Gas & Oil,Houston,Texas,United States,1-832-242-9600
Fountaintown Gas Company,fountaintowngas.net,Gas & Oil,Morristown,Indiana ,United States,1-765-763-6393
Four Wings Logistics,,Gas & Oil,San Antonio,Texas,United States,1-210-698-5335
Fox Fuel Co.,www.foxfuel.com,Gas & Oil,Willow Grove,Pennsylvania,United States,1-215-659-1616
Frazier Oil & LP Gas Company,www.frazieroil.com,Gas & Oil,Gower,Missouri,United States,1-816-424-6623
Fresh Express,energynorthgroup.com,Gas & Oil,Tewksbury,Massachusetts,United States,1-978-851-7050
Frontier Oil,http://frontieroilltd.com/,Gas & Oil,Houston,Texas,United States,1-713-325-2032
Frost Oil Company,www.frostoil.com,Gas & Oil,Van Buren,Arkansas ,United States,1-479-471-9992
Fuel Club,thefuelclub.com,Gas & Oil,Claremont,New Hampshire,United States,1-603-543-1940
Fuel Service,fuelservicellc.com,Gas & Oil,Chippewa Falls,Wisconsin,United States,1-715-723-1701
Fueltrac Inc,www.fueltrac.com,Gas & Oil,Baton Rouge,Louisiana,United States,1-225-751-6868
"FX Energy, Inc.",,Gas & Oil,Lake City,Utah,United States,1-801-486-5555
Gas Depot Oil Co,www.gasdepot.com,Gas & Oil,Morton Grove,Illinois,United States,1-847-581-0303
Gas Development Corporation,www.gasdevcorp.com,Gas & Oil,Tulsa,Oklahoma,United States,1-918-523-9090
Gas Technologies Inc,gfs-corp.net,Gas & Oil,Fort Lauderdale,Florida ,United States,1-954-693-9657
Gate Fuel Service,www.gatefuel.com,Gas & Oil,Jacksonville,Florida ,United States,1-904-636-9700
Gateway Resources USA Inc,www.gateres.com,Gas & Oil,Bartlesville,Oklahoma,United States,1-918-333-2115
Gene R George,gga-inc.com,Gas & Oil,Casper,Wyoming,United States,1-307-265-9199
Genecov Group,www.genecov.com,Gas & Oil,Tyler,Texas,United States,1-903-509-8844
Genie Oil & Gas Corporation,www.geniewell.com,Gas & Oil,Tulsa,Oklahoma,United States,1-918-747-3695
"Geodynamics, Inc.",www.perf.com,Gas & Oil,Millsap,Texas,United States,1-817-341-5300
Geo-Microbial Technologies Inc,gmtgeochem.com,Gas & Oil,Ochelata,Oklahoma,United States,1-918-535-2139
Georgia Natural Gas - Inside Metro Atlanta,www.georgianaturalgas.com,Gas & Oil,Atlanta,Georgia ,United States,1-770-850-6200
Glacial Lakes Energy LLC,www.glaciallakesenergy.com,Gas & Oil,Watertown,South Dakota,United States,1-605-882-8480
Goddard Energy Company,goddardenergy.com,Gas & Oil,Bandon,Oregon,United States,1-541-347-2808
Good Oil Company,goodoilcompany.com,Gas & Oil,Winamac,Indiana ,United States,1-574-946-4863
Grace Shursen Moore & Associates,gsm-inc.com,Gas & Oil,Amarillo,Texas,United States,1-806-358-6894
Grand Resources Inc,www.grandoil.com,Gas & Oil,Tulsa,Oklahoma,United States,1-918-492-2366
Grease Monkey,thehappycar.com,Gas & Oil,Battle Ground,Washington,United States,1-360-666-1533
Great Western Drilling Company,www.gwdc.com,Gas & Oil,Midland,Texas,United States,1-432-682-5241
Great Western Petroleum,gwpetrol.com,Gas & Oil,Missoula,Montana,United States,1-406-543-7621
Greens Energy Service,greensenergy.com,Gas & Oil,Orlando,Florida ,United States,1-407-830-5020
Greenstar Energy Production,www.greenstarenergy.com,Gas & Oil,Oklahoma City,Oklahoma,United States,1-405-604-0781
Grey Forest Utilities,greyforestutilities.com,Gas & Oil,Midland,Texas,United States,1-210-695-8781
Grimes Oil,www.grimesoil.com,Gas & Oil,Quincy,Massachusetts,United States,1-617-825-1200
Grimms Fuel Co,www.grimmsfuel.com,Gas & Oil,Tualatin,Oregon,United States,1-503-635-9147
Gulf Exploration LLC,www.garrettandco.com,Gas & Oil,Oklahoma City,Oklahoma,United States,1-405-840-3381
Gulfport Energy Corporation,www.gulfportenergy.com,Gas & Oil,Oklahoma City,Oklahoma,United States,1-405-848-8807
Gustavson Associates Inc,www.mineralsappraisers.com,Gas & Oil,Boulder,Colorado,United States,1-303-443-2209
